epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3558,4.02252,10.4718,2.05979,0.01283,0.19938,0.01061,0.00274,2.7174,5.76035,1.33138,0.000664474,0.000664474,0.000664474
2,47.8114,3.03361,4.63852,1.47918,0.03756,0.47749,0.08859,0.0327,2.04638,3.84387,1.11257,0.00119936,0.00119936,0.00119936
3,68.4868,2.85093,4.01349,1.39754,0.04526,0.56474,0.07734,0.02877,1.93388,5.07889,1.0299,0.00160224,0.00160224,0.00160224
4,88.1692,2.6309,3.62006,1.29036,0.27199,0.42952,0.23378,0.0828,1.98593,3.20981,1.04551,0.001406,0.001406,0.001406
5,108.238,2.55779,3.19211,1.25285,0.37739,0.23145,0.22566,0.08021,1.99706,1.84548,1.033,0.001208,0.001208,0.001208
6,128.032,2.46814,2.92366,1.23166,0.29888,0.29939,0.20074,0.0725,1.98244,1.75899,1.02623,0.00101,0.00101,0.00101
7,147.781,2.42777,2.69233,1.18977,0.27349,0.3524,0.19883,0.06855,2.01052,1.72773,1.04251,0.000812,0.000812,0.000812
8,167.151,2.34681,2.55573,1.20135,0.47403,0.37964,0.36635,0.13045,1.93769,1.72543,1.01009,0.000614,0.000614,0.000614
9,186.746,2.35114,2.47709,1.17929,0.44728,0.38537,0.35681,0.13272,1.92433,1.68288,1.00769,0.000416,0.000416,0.000416
10,206.84,2.21082,2.52467,1.13755,0.45339,0.47734,0.40344,0.15139,1.86909,1.53,0.98591,0.000218,0.000218,0.000218
