epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1548,4.283,9.41083,2.18779,0.14336,0.13022,0.06292,0.01947,2.52784,11.3157,1.26363,0.000664474,0.000664474,0.000664474
2,44.7969,3.19597,2.98216,1.46202,0.27409,0.2854,0.17573,0.06093,2.14232,4.71032,1.1397,0.00128721,0.00128721,0.00128721
3,61.0938,2.87203,2.91506,1.36422,0.32275,0.3892,0.24598,0.09138,1.94308,3.14886,1.01671,0.00186595,0.00186595,0.00186595
4,81.0614,2.75058,2.75629,1.29379,0.31915,0.39729,0.24462,0.0885,1.96419,3.0994,1.01658,0.001802,0.001802,0.001802
5,101.548,2.54757,2.50876,1.23816,0.39668,0.45512,0.34006,0.12704,1.81253,3.14547,0.96843,0.001736,0.001736,0.001736
6,123.602,2.51231,2.33402,1.20459,0.44113,0.4922,0.38447,0.10479,2.15697,2.9225,1.07463,0.00167,0.00167,0.00167
7,144.651,2.44377,2.24629,1.1899,0.45383,0.49971,0.40488,0.14393,1.90459,3.2283,0.97286,0.001604,0.001604,0.001604
8,165.168,2.36627,2.18204,1.15364,0.50858,0.49235,0.44186,0.13991,2.00012,2.09186,1.00277,0.001538,0.001538,0.001538
9,185.378,2.28558,2.19083,1.11841,0.53693,0.58334,0.51553,0.1771,1.81037,1.52896,0.9603,0.001472,0.001472,0.001472
10,205.809,2.2641,2.15141,1.1354,0.60111,0.60845,0.57162,0.1681,2.07177,1.38315,1.02964,0.001406,0.001406,0.001406
11,226.088,2.23728,1.85588,1.1176,0.50853,0.50103,0.45824,0.16448,1.85425,1.3938,0.95379,0.00134,0.00134,0.00134
12,246.146,2.15838,1.87573,1.09534,0.61285,0.61354,0.59537,0.26276,1.64365,1.42609,0.90257,0.001274,0.001274,0.001274
13,266.186,2.14254,1.87831,1.10056,0.5761,0.59255,0.56266,0.23227,1.7352,1.39748,0.91407,0.001208,0.001208,0.001208
14,286.126,2.1221,1.62755,1.08835,0.53329,0.44304,0.41868,0.13121,2.20847,1.45724,1.03101,0.001142,0.001142,0.001142
15,307.032,2.12894,1.76059,1.08707,0.6921,0.64994,0.68535,0.32798,1.57992,1.45054,0.88813,0.001076,0.001076,0.001076
16,327.39,2.04752,1.76953,1.06098,0.71006,0.63199,0.68934,0.30556,1.68848,1.1781,0.92161,0.00101,0.00101,0.00101
17,347.046,2.03425,1.60708,1.06247,0.71379,0.63486,0.69456,0.34692,1.5259,1.18824,0.88117,0.000944,0.000944,0.000944
18,366.797,1.99608,1.6643,1.04393,0.71148,0.66157,0.70536,0.33728,1.52594,1.19955,0.8688,0.000878,0.000878,0.000878
19,385.655,1.96345,1.50809,1.0511,0.75628,0.67029,0.74089,0.38141,1.51117,1.1124,0.87675,0.000812,0.000812,0.000812
20,405.903,1.97727,1.46858,1.05055,0.71489,0.6339,0.68618,0.31057,1.64819,1.22366,0.88881,0.000746,0.000746,0.000746
21,426.347,1.8533,1.92103,1.00143,0.74747,0.65549,0.72131,0.36362,1.54717,1.08203,0.87591,0.00068,0.00068,0.00068
22,446.044,1.85681,1.67319,1.01246,0.76788,0.67496,0.74639,0.38451,1.45521,1.11564,0.85542,0.000614,0.000614,0.000614
23,465.65,1.8404,1.59982,1.0175,0.68752,0.63585,0.67189,0.29805,1.65908,1.2525,0.89138,0.000548,0.000548,0.000548
24,485.049,1.81445,1.67753,0.97288,0.75222,0.67966,0.72808,0.31916,1.64395,1.12241,0.88184,0.000482,0.000482,0.000482
25,504.607,1.78559,1.56233,0.99106,0.75892,0.66424,0.74707,0.38824,1.49238,1.09993,0.86112,0.000416,0.000416,0.000416
26,524.802,1.75027,1.49149,0.98309,0.75799,0.69305,0.75011,0.37379,1.51335,1.05407,0.86037,0.00035,0.00035,0.00035
27,545.163,1.76235,1.47496,0.99554,0.77082,0.68555,0.75792,0.38085,1.50265,1.0518,0.8581,0.000284,0.000284,0.000284
28,564.47,1.68582,1.4493,0.95991,0.77649,0.69129,0.76644,0.3966,1.44203,1.03664,0.84632,0.000218,0.000218,0.000218
29,584.605,1.70422,1.4922,0.97723,0.7833,0.69232,0.76762,0.40717,1.42899,1.04115,0.84884,0.000152,0.000152,0.000152
30,605.534,1.7234,1.3818,0.98347,0.77527,0.68025,0.75784,0.39705,1.4487,1.04453,0.84808,8.6e-05,8.6e-05,8.6e-05
