epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5485,2.19333,3.13925,1.08683,0.76131,0.70144,0.73478,0.33793,1.60383,2.45753,0.86368,0.000664474,0.000664474,0.000664474
2,49.891,1.94292,1.39676,1.01224,0.86356,0.73396,0.81093,0.4015,1.54008,1.08886,0.86177,0.00128721,0.00128721,0.00128721
3,72.9991,1.88422,1.53163,1.00989,0.85772,0.73358,0.81296,0.42659,1.43162,1.74888,0.82806,0.00186595,0.00186595,0.00186595
4,96.4966,1.90841,1.49962,1.00866,0.80327,0.69188,0.75924,0.34632,1.63244,1.18753,0.88196,0.001802,0.001802,0.001802
5,117.807,1.79837,1.35741,0.99335,0.83939,0.73056,0.7793,0.36876,1.58932,1.22896,0.85786,0.001736,0.001736,0.001736
6,138.892,1.77672,1.15959,0.97543,0.88868,0.79059,0.85552,0.45875,1.36337,0.97602,0.81158,0.00167,0.00167,0.00167
7,159.312,1.76851,1.13173,0.98235,0.88097,0.76427,0.85095,0.46102,1.434,0.94184,0.82778,0.001604,0.001604,0.001604
8,180.373,1.68908,1.08055,0.95642,0.89487,0.77908,0.86232,0.46708,1.39154,1.10905,0.81079,0.001538,0.001538,0.001538
9,202.171,1.66157,1.04953,0.94032,0.89518,0.8118,0.87985,0.49494,1.32893,1.10046,0.79603,0.001472,0.001472,0.001472
10,224.242,1.69254,1.05713,0.9595,0.87103,0.75922,0.83903,0.43582,1.48088,0.95979,0.8224,0.001406,0.001406,0.001406
11,245.38,1.63056,0.98456,0.94321,0.85094,0.77604,0.81657,0.38634,1.55692,1.04294,0.83166,0.00134,0.00134,0.00134
12,266.615,1.60319,1.01911,0.93486,0.89557,0.77884,0.85805,0.44972,1.46489,0.83863,0.81021,0.001274,0.001274,0.001274
13,288.008,1.58942,1.03007,0.94026,0.90218,0.81698,0.89026,0.50732,1.30789,0.80137,0.78576,0.001208,0.001208,0.001208
14,310.112,1.559,0.91457,0.92928,0.9039,0.79826,0.88307,0.48869,1.34096,0.8209,0.78668,0.001142,0.001142,0.001142
15,332.346,1.5674,0.95249,0.93168,0.91904,0.82177,0.90061,0.53944,1.21322,0.82085,0.77393,0.001076,0.001076,0.001076
16,354.368,1.55594,0.94796,0.91967,0.90909,0.81226,0.8834,0.47567,1.37168,0.79756,0.79011,0.00101,0.00101,0.00101
17,375.553,1.50207,0.87611,0.91413,0.90695,0.80386,0.89102,0.52195,1.26097,0.72066,0.76905,0.000944,0.000944,0.000944
18,396.928,1.4989,0.86728,0.90791,0.92688,0.82815,0.90217,0.51771,1.31471,0.7392,0.78242,0.000878,0.000878,0.000878
19,418.425,1.46403,0.85311,0.91171,0.91083,0.82362,0.90053,0.51909,1.29004,0.72641,0.77441,0.000812,0.000812,0.000812
20,439.918,1.47846,0.85914,0.91219,0.93132,0.81695,0.903,0.53567,1.25336,0.72238,0.77002,0.000746,0.000746,0.000746
21,463.192,1.43327,0.98267,0.87105,0.89625,0.79929,0.87925,0.50381,1.30365,0.79395,0.77485,0.00068,0.00068,0.00068
22,485.161,1.4109,0.89948,0.88596,0.91737,0.83156,0.90347,0.55053,1.20141,0.69167,0.76069,0.000614,0.000614,0.000614
23,506.087,1.42277,0.89269,0.89143,0.89869,0.77134,0.86817,0.43089,1.60971,0.84962,0.82702,0.000548,0.000548,0.000548
24,527.315,1.36678,0.88794,0.8493,0.92194,0.83066,0.90269,0.51096,1.33078,0.70631,0.78184,0.000482,0.000482,0.000482
25,548.989,1.38523,0.84572,0.87054,0.91779,0.83774,0.90641,0.55109,1.19185,0.70171,0.75973,0.000416,0.000416,0.000416
26,570.15,1.32739,0.82654,0.86172,0.92844,0.82431,0.90221,0.48837,1.3893,0.71859,0.78393,0.00035,0.00035,0.00035
27,591.096,1.34301,0.82468,0.87517,0.91424,0.83343,0.90536,0.53441,1.25581,0.68974,0.76527,0.000284,0.000284,0.000284
28,612.119,1.27994,0.76857,0.84324,0.92454,0.8401,0.91029,0.53488,1.28801,0.67976,0.76733,0.000218,0.000218,0.000218
29,633.127,1.28293,0.81475,0.8591,0.92176,0.83387,0.90663,0.54392,1.25781,0.69314,0.76446,0.000152,0.000152,0.000152
30,653.907,1.2929,0.77668,0.8639,0.92409,0.83049,0.90648,0.53376,1.3145,0.70253,0.77171,8.6e-05,8.6e-05,8.6e-05
