epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7282,2.19333,3.13925,1.08683,0.76131,0.70144,0.73478,0.33793,1.60383,2.45753,0.86368,0.000664474,0.000664474,0.000664474
2,46.4953,1.93598,1.3977,1.0097,0.83072,0.73102,0.79748,0.40731,1.49416,1.53138,0.84149,0.00126525,0.00126525,0.00126525
3,68.608,1.87568,1.49965,1.0081,0.82728,0.69141,0.7777,0.39064,1.57199,1.23578,0.85821,0.00180002,0.00180002,0.00180002
4,90.014,1.85045,1.40578,0.99414,0.84376,0.6751,0.77963,0.35376,1.5921,1.17297,0.8489,0.001703,0.001703,0.001703
5,112.577,1.76013,1.29736,0.97801,0.80717,0.76295,0.77945,0.33841,1.60713,1.23061,0.84892,0.001604,0.001604,0.001604
6,133.843,1.74426,1.1294,0.96683,0.885,0.78767,0.8536,0.45025,1.39547,1.01558,0.81683,0.001505,0.001505,0.001505
7,156.227,1.72054,1.10065,0.96976,0.89901,0.80812,0.8678,0.47118,1.33268,5.20258,0.7994,0.001406,0.001406,0.001406
8,178.746,1.68001,1.04807,0.95083,0.91372,0.78664,0.87964,0.47256,1.40008,0.85995,0.81468,0.001307,0.001307,0.001307
9,200.607,1.63314,1.00424,0.93176,0.91072,0.81004,0.88686,0.50469,1.30849,0.77939,0.79183,0.001208,0.001208,0.001208
10,222.037,1.65241,0.99512,0.94934,0.89843,0.76839,0.85984,0.45124,1.47303,0.9368,0.81204,0.001109,0.001109,0.001109
11,243.629,1.5768,1.11416,0.93325,0.9074,0.78732,0.87263,0.47687,1.40353,0.85864,0.80801,0.00101,0.00101,0.00101
12,265.696,1.49217,1.11976,0.89629,0.86087,0.74747,0.83528,0.41589,1.45924,0.8618,0.81299,0.000911,0.000911,0.000911
13,286.6,1.52151,1.0558,0.91215,0.9127,0.78737,0.87228,0.47975,1.33104,0.82197,0.78871,0.000812,0.000812,0.000812
14,308.239,1.51028,1.13436,0.89497,0.89219,0.76839,0.86191,0.45157,1.4348,0.86178,0.80108,0.000713,0.000713,0.000713
15,330.057,1.52366,1.01876,0.90984,0.91172,0.76442,0.86437,0.44147,1.45576,0.80849,0.80283,0.000614,0.000614,0.000614
16,351.661,1.46604,0.92271,0.88664,0.89178,0.78517,0.87778,0.47644,1.37407,0.79296,0.79043,0.000515,0.000515,0.000515
17,373.234,1.41229,0.92593,0.8777,0.91526,0.81107,0.89119,0.53632,1.22118,0.70485,0.76913,0.000416,0.000416,0.000416
18,394.706,1.42063,0.91416,0.87947,0.92694,0.80518,0.89494,0.5048,1.34155,0.75502,0.78256,0.000317,0.000317,0.000317
19,415.981,1.36194,0.88784,0.86774,0.9161,0.81165,0.89606,0.49603,1.36686,0.73376,0.78591,0.000218,0.000218,0.000218
20,437.015,1.37024,0.8361,0.88238,0.91926,0.8108,0.89751,0.52134,1.28073,0.6987,0.77196,0.000119,0.000119,0.000119
